,VARNAME,NUMBER,BEGIN,END,DOTS,ASSIGN,LPAREN,RPAREN,MINUS,PLUS,TIMES,DIVIDE,IF,THEN,ELSE,AND,OR,LBRACK,RBRACK,EQUAL,SMALLER,WHILE,DO,PRINT,READ,EPSILON,EOF
PROGRAM,,,1,,,,,,,,,,,,,,,,,,,,,,,,
CODE,3,,3,3,,,,,,,,,3,,,,,,,,,3,,3,3,,
INSTLIST,4,,4,,,,,,,,,,4,,,,,,,,,4,,4,4,,
INSTTAIL,,,,6,6,,,,,,,,,,,,,,,,,,,,,,
INSTRUCTION,12,,12,,,,,,,,,,12,,,,,,,,,12,,12,12,,
ASSIGN,13,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPRARITH,14,14,,,,,14,,14,,,,,,,,,,,,,,,,,,
EXPRARITHPRIME,,,,17,17,,,17,17,17,,,,,17,,,,,17,17,,,,,17,
PROD,18,18,,,,,18,,18,,,,,,,,,,,,,,,,,,
PRODPRIME,,,,21,21,,,21,21,21,21,21,,,21,,,,,21,21,,,,,21,
ATOM,25,25,,,,,25,,25,,,,,,,,,,,,,,,,,,
IF,,,,,,,,,,,,,26,,,,,,,,,,,,,,
ELSETAIL,28,,28,28,28,,,,,,,,28,,28,,,,,,,28,,28,28,28,
COND,29,29,,,,,29,,29,,,,,,,,,29,,,,,,,,,
CONDPRIME,,,,,,,,,,,,,,31,,,31,,31,,,,31,,,,
AND,32,32,,,,,32,,32,,,,,,,,,32,,,,,,,,,
ANDPRIME,,,,,,,,,,,,,,34,,34,34,,34,,,,34,,,34,
CONDATOM,36,36,,,,,36,,36,,,,,,,,,36,,,,,,,,,
COMP,,,,,,,,,,,,,,,,,,,,38,38,,,,,,
